"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000167244.21",953.191496966555,-5.25763804773811,0.719183535047498,-7.31056509433419,2.66021238253515e-13,7.36080766247477e-09
"ENSG00000221867.9",133.726710756865,-8.15422772974997,1.29355187903452,-6.30375005588188,2.90528877870769e-10,4.01946702534209e-06
"ENSG00000250971.3",69.6509267935422,-4.04478009132236,0.657820825168565,-6.14875652543517,7.8092746340873e-10,7.20275430417318e-06
"ENSG00000138823.13",213.254241393741,-4.08705628006113,0.676084247253014,-6.04518785442374,1.49236015780647e-09,8.81935682070997e-06
"ENSG00000198930.13",36.5050205277434,-6.86507122026748,1.13762015165475,-6.0345900257496,1.59366765824177e-09,8.81935682070997e-06
"ENSG00000170178.7",28.4449721828511,-3.3136023728826,0.568017274776845,-5.83362957435476,5.42344536600671e-09,2.50111222129009e-05
"ENSG00000015520.15",257.584323475915,-3.12644122877614,0.557563305755139,-5.60732960097118,2.05472140199483e-08,7.10676764914961e-05
"ENSG00000249306.6",175.076759123475,-3.55004131946988,0.630972489975848,-5.62630126648749,1.84114678990632e-08,7.10676764914961e-05
"ENSG00000171564.12",66.8383217753685,-4.10662748692561,0.747803421698025,-5.49158691678725,3.98338203379114e-08,0.000110591996528172
"ENSG00000219146.1",32.038916424909,-3.26450986919654,0.594790075643247,-5.4885076313119,4.05343761541294e-08,0.000110591996528172
"ENSG00000259471.1",16.736146244715,-4.45085809915558,0.81307035698553,-5.47413647652486,4.39650148829016e-08,0.000110591996528172
"ENSG00000172410.4",104.710355756273,-4.25056347797759,0.820011177932966,-5.18354333741175,2.17709611599575e-07,0.000401601663530682
"ENSG00000174279.4",10.3436204788467,-2.99900284599852,0.575369703229343,-5.21230580818941,1.86507762207023e-07,0.000401601663530682
"ENSG00000234488.1",9.37630067087263,-3.42214559710499,0.658340309462442,-5.19814076081607,2.01291682279825e-07,0.000401601663530682
"ENSG00000237412.7",90.4259947922594,-4.64601979815469,0.894745004496095,-5.1925629925939,2.07418656788168e-07,0.000401601663530682
"ENSG00000173432.12",278.765105495432,-2.35793791062894,0.456379121791959,-5.16662090362628,2.38364035208439e-07,0.000412220803388594
"ENSG00000203783.5",21.971208362681,-4.8401893240411,0.944465527989372,-5.12479193851061,2.97866488478281e-07,0.000457886985344113
"ENSG00000260658.6",1.62900647479246,3.17781180801473,0.619460647464899,5.129965593488,2.89795142121479e-07,0.000457886985344113
"ENSG00000197172.10",142.601756109976,-6.48040450516197,1.28088147298888,-5.0593319068315,4.20727977967136e-07,0.000612712797386877
"ENSG00000233593.10",48.1273451246835,-1.574296207292,0.312763386822177,-5.0335054345318,4.81591157169251e-07,0.000666281365943659
"ENSG00000123454.12",10.539648607084,2.13216053113717,0.425563603078555,5.01020415212433,5.43723250125978e-07,0.000683855560499355
"ENSG00000164326.5",28.2170880048435,-3.6857306761495,0.734594123820893,-5.01737021387901,5.2383565591467e-07,0.000683855560499355
"ENSG00000262152.7",141.029156670435,2.49342319844095,0.503333490533773,4.95381937688417,7.27707605871042e-07,0.000875463889323989
"ENSG00000261502.4",2.98559709742523,4.09670177655191,0.832977656774724,4.918141252929,8.73698594864524e-07,0.00100730167166256
"ENSG00000148702.15",37.7457996019833,-3.66532395628369,0.747982617996163,-4.90027958952181,9.5700367124063e-07,0.00105921166332913
"ENSG00000164530.15",61.4240229294821,-2.83411170923103,0.580913973413826,-4.87871154583519,1.06781094957355e-06,0.0011363972682577
"ENSG00000158874.11",62.283738119937,-4.54749529394685,0.945596807784493,-4.80912716340647,1.51590752982653e-06,0.00139986565642243
"ENSG00000175198.17",2325.30665885737,1.331980550771,0.275817655240354,4.82920699768215,1.37077854385309e-06,0.00139986565642243
"ENSG00000243538.1",10.6127432721274,-2.41888209051798,0.50262587177622,-4.8124902165699,1.49061172016858e-06,0.00139986565642243
"ENSG00000257017.9",20.3782484507917,-3.47970298985283,0.723598689851912,-4.80888514400844,1.51774375470447e-06,0.00139986565642243
"ENSG00000016082.15",47.3974328904477,-1.79388262935958,0.374021184475962,-4.79620594719248,1.61699036266195e-06,0.00144329430112439
"ENSG00000133636.11",50.3454560271767,-3.30821269450984,0.69304154387433,-4.77346953259951,1.81078953974614e-06,0.00151831959287199
"ENSG00000241255.1",31.7915616408502,-2.14939165384398,0.450081979600013,-4.77555590151409,1.79211497340482e-06,0.00151831959287199
"ENSG00000104332.12",256.86505959456,-2.71327587235276,0.570161779593763,-4.75878245343972,1.94764208373104e-06,0.00158503695461288
"ENSG00000174885.13",111.749425141351,-2.33473653063171,0.491901620715415,-4.7463485223653,2.0712170532239e-06,0.00163744502464872
"ENSG00000237730.1",26.6436735404982,-3.11514040764084,0.662526995969155,-4.70190713222782,2.57742728982341e-06,0.00198103925303927
"ENSG00000133392.18",11269.7374172318,-2.33885312107821,0.501555443807725,-4.66319955242043,3.11330591788063e-06,0.00226697828283571
"ENSG00000242407.1",114.673727367326,-2.4836399935055,0.532197459584902,-4.66676409061152,3.05980295649997e-06,0.00226697828283571
"ENSG00000088926.14",8.06740218475044,-3.22830182216766,0.695870511286639,-4.63922780144635,3.49713407614949e-06,0.0023039452354061
"ENSG00000099330.9",493.311529283367,0.709697803179801,0.152706031593298,4.64747721995643,3.36019187463425e-06,0.0023039452354061
"ENSG00000136695.15",5.54626619690034,-3.06118167697557,0.659169752059976,-4.64399597737768,3.41734217349534e-06,0.0023039452354061
"ENSG00000211676.2",69.9378318905387,-3.31670546844133,0.714251905829961,-4.64360744629349,3.42377806301925e-06,0.0023039452354061
"ENSG00000163631.17",53.5364070534576,-4.83928748253632,1.04480878461518,-4.63174463480293,3.62597220725089e-06,0.00233327095289842
"ENSG00000122585.8",12.0559631877649,-2.81881541018769,0.609553628527108,-4.62439279870898,3.75697324656889e-06,0.00236262385755821
"ENSG00000254270.1",7.28731377154789,-3.25624585351266,0.705311490191123,-4.61674862638391,3.89798954362414e-06,0.00239683045937955
"ENSG00000206557.6",35.7829353223313,-3.82564858125728,0.830145747388279,-4.60840592545725,4.05767890838384e-06,0.00244078207380393
"ENSG00000105398.4",30.4044088229987,-3.18188307377328,0.692159430327952,-4.59703781290052,4.28539869865566e-06,0.00247100778961925
"ENSG00000146013.11",45.735418030598,-2.00085890735548,0.435254832236245,-4.59698263905653,4.2865332093142e-06,0.00247100778961925
"ENSG00000004776.13",213.045956185197,-2.1336556701012,0.468230428930021,-4.55684965835504,5.19265634909865e-06,0.00250448796047211
"ENSG00000113296.14",328.830065944506,-2.48398687167344,0.542653092384452,-4.57748588653323,4.705975289881e-06,0.00250448796047211
"ENSG00000119147.10",22.63826006072,-2.5678987394064,0.561209695164713,-4.57564928320194,4.74745292748583e-06,0.00250448796047211
"ENSG00000146205.14",362.328758083664,1.69334541261554,0.371855069953553,4.5537779351161,5.26909770036084e-06,0.00250448796047211
"ENSG00000159217.10",236.489028104929,-3.09981100545652,0.678123987480711,-4.57115669506484,4.85039407707943e-06,0.00250448796047211
"ENSG00000172456.18",1641.62749916488,-1.76957513377004,0.388835300871368,-4.55096317079358,5.34008957487287e-06,0.00250448796047211
"ENSG00000180875.5",257.248241237971,-2.09886195174544,0.46105638585602,-4.5522890824917,5.3065350827392e-06,0.00250448796047211
"ENSG00000210112.1",38.0808603767313,-2.80350459351105,0.615178172113714,-4.55722377775269,5.18341907151639e-06,0.00250448796047211
"ENSG00000232177.1",9.0055517089106,2.24277950340353,0.493198274107987,4.54741961021638,5.43076536423298e-06,0.00250448796047211
"ENSG00000236449.2",12.1938278477352,-3.44828672519541,0.756934282785849,-4.55559591316727,5.22372728001048e-06,0.00250448796047211
"ENSG00000286329.1",4.52682474368224,-3.70808864188093,0.812370845249136,-4.56452698120123,5.00621816072191e-06,0.00250448796047211
"ENSG00000288536.1",5.62762592856843,1.86538413310087,0.409922851974116,4.55057366067179,5.34998534410705e-06,0.00250448796047211
"ENSG00000213401.10",64.7529126209427,-5.55357816298006,1.22520960265662,-4.53275762036001,5.82186055070278e-06,0.00264083412193354
"ENSG00000176884.16",160.961578404203,2.03501289546162,0.449880896983935,4.52344811505586,6.08402390467509e-06,0.0027152409910058
"ENSG00000141338.14",138.708709372266,-2.28064552504566,0.5053416563337,-4.51307644335508,6.38939795684638e-06,0.0027624162729053
"ENSG00000198610.11",45.8002039561514,-2.52855782543682,0.559999332482246,-4.51528721334143,6.32310091842701e-06,0.0027624162729053
"ENSG00000204740.11",81.6276492072216,-2.74251524320706,0.608297250368542,-4.50851165535516,6.5283983272262e-06,0.00277908894945152
"ENSG00000084674.15",49.1089897878966,-3.33462540914304,0.740311661805961,-4.50435347865297,6.65753128582072e-06,0.00279111955573726
"ENSG00000134463.15",265.010497574065,-2.18889071545276,0.486977543131909,-4.49484939567295,6.96192031595677e-06,0.0028751691812317
"ENSG00000239223.3",33.6383353577659,-2.8827992327594,0.64407686409941,-4.47586211125641,7.61035920688115e-06,0.00309674469491767
"ENSG00000231369.1",61.2666523630013,-2.33420645675761,0.523927764394753,-4.45520664371378,8.3812427439771e-06,0.00336099980762096
"ENSG00000217130.1",60.6553931193574,-1.77343702427961,0.398713120260561,-4.44790234923962,8.67129316570655e-06,0.00342763831278715
"ENSG00000011677.13",39.8823727036719,-3.60852209667832,0.813721486392366,-4.43459114331207,9.22471877485934e-06,0.00349363985748665
"ENSG00000123388.4",29.1057134341995,-4.05252774116284,0.914412369406832,-4.43183827860035,9.34330861778142e-06,0.00349363985748665
"ENSG00000196616.14",407.137329866739,-2.71121013825958,0.611592815837035,-4.43303136997935,9.29173404313517e-06,0.00349363985748665
"ENSG00000224099.2",197.537091294878,-3.00091358579114,0.675834151026302,-4.44031066088335,8.98291080733792e-06,0.00349363985748665
"ENSG00000160224.17",16.1568026742761,-2.37158876872754,0.537255592999262,-4.41426538807721,1.01353563731787e-05,0.00362182569618306
"ENSG00000168079.17",318.924286926815,-2.33547618754226,0.528834840128782,-4.4162676327708,1.0041974055077e-05,0.00362182569618306
"ENSG00000213199.8",32.024373861841,1.33451771672693,0.302055462161991,4.41812145085869,9.95624726416002e-06,0.00362182569618306
"ENSG00000256817.1",14.9018722203964,-2.99245607320773,0.678148748672803,-4.41268391199458,1.02097001916256e-05,0.00362182569618306
"ENSG00000243297.2",15.933106432764,-2.71487521301428,0.618652221115044,-4.38837059070288,1.14203055888278e-05,0.00399999817269451
"ENSG00000251235.3",8.30634220347239,-3.29905361390336,0.752510940823699,-4.38406066268248,1.16487312362621e-05,0.00402900491634214
"ENSG00000126218.12",327.215070740204,-1.74181739117196,0.39885233945767,-4.36707327212961,1.25922493519781e-05,0.00410394094245371
"ENSG00000135447.17",34.7649011541796,-2.28173507987432,0.521756904982785,-4.37317658488794,1.22451597212029e-05,0.00410394094245371
