"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000242407.1",120.911423073775,-10.0759132731227,1.16347544900978,-8.66018555157151,4.70996956651084e-18,1.04603714102639e-13
"ENSG00000117477.12",10.3660632592162,2.75658016817248,0.48763522752521,5.65295534976494,1.57712286745408e-08,0.000175131608816438
"ENSG00000167244.21",1020.92845041494,-6.52400421727167,1.22946387919845,-5.30638136479862,1.11822881014235e-07,0.000582613533972844
"ENSG00000170373.8",899.608822744213,-4.40854073655386,0.8342706746721,-5.28430504678422,1.26182842171855e-07,0.000582613533972844
"ENSG00000259045.1",7.95285312957139,2.81943220005576,0.534265759024745,5.27720923984045,1.31166088966825e-07,0.000582613533972844
"ENSG00000220583.1",52.1238233229828,-8.85819140927124,1.75522210037865,-5.04676382969443,4.49356237464038e-07,0.00166329211297314
"ENSG00000210140.1",324.264299198953,-5.11857495789135,1.04772685853225,-4.88540970025521,1.03214002366728e-06,0.00327468539794665
"ENSG00000101084.18",1022.65460795955,-4.24721399115026,0.91522139353974,-4.64064107453126,3.47329959141397e-06,0.00794140583957683
"ENSG00000132294.15",2499.10843119059,1.1058059539833,0.23859636962016,4.63463025755053,3.57576020513163e-06,0.00794140583957683
"ENSG00000227183.3",15.3771018128512,-3.97409568915237,0.856730685986379,-4.6386755536565,3.50649014019392e-06,0.00794140583957683
"ENSG00000225616.2",111.530740909464,-4.40612611327796,0.988250752780868,-4.45851025246318,8.25312501464202e-06,0.0152744711208487
"ENSG00000234985.2",79.0027504984938,-4.67584116763216,1.0477122091553,-4.46290606024528,8.08555066983161e-06,0.0152744711208487
"ENSG00000211678.2",21.7580170679295,-7.11170662983584,1.61407155300856,-4.40606651952939,1.05264649347811e-05,0.0179832507489657
"ENSG00000187398.12",29.0962668881927,2.90875147124599,0.672711204130386,4.32392303470868,1.53278790209796e-05,0.0243154903697812
"ENSG00000168282.6",42.2417993784492,-3.27054940307946,0.764041376571092,-4.28059199850827,1.8639681192275e-05,0.0258730424749523
"ENSG00000184709.7",417.443573481837,-4.86121568874577,1.13510600910529,-4.28260942127992,1.84714245129982e-05,0.0258730424749523
"ENSG00000088766.12",347.005881090261,-3.0592760840172,0.736568568201408,-4.15341655358374,3.27547692463683e-05,0.028435595349148
"ENSG00000153310.19",2537.82016959213,1.0218439970098,0.244584539837762,4.17787648265753,2.9424336321447e-05,0.028435595349148
"ENSG00000163959.10",123.99049733026,1.95040281257245,0.467137091176034,4.17522575152883,2.97690692172647e-05,0.028435595349148
"ENSG00000167996.16",11674.5508437175,-2.98402038868244,0.710392384542638,-4.20052418017347,2.66297724308156e-05,0.028435595349148
"ENSG00000171564.12",71.4033066582545,-5.36274760645492,1.29485531248497,-4.1415805725531,3.44920662542327e-05,0.028435595349148
"ENSG00000213820.3",48.4289063205541,-4.08383050918218,0.968150833450819,-4.21817589582196,2.46286663331975e-05,0.028435595349148
"ENSG00000223940.1",18.1155784295228,1.68417633300905,0.406643311067616,4.14165507502718,3.44808619594809e-05,0.028435595349148
"ENSG00000229344.1",383.118900104108,3.59982894262834,0.860062193281295,4.18554491843704,2.84482802220784e-05,0.028435595349148
"ENSG00000242616.4",21.6903119101801,-4.06793321780078,0.972170706479288,-4.18438160159422,2.85943430218844e-05,0.028435595349148
"ENSG00000271303.2",30.2139527473634,-5.19103950507694,1.25355204649075,-4.1410642020082,3.45698173905623e-05,0.028435595349148
"ENSG00000285976.2",96.3085973783892,-3.4441353525078,0.823087966893569,-4.18440736718139,2.85911002609818e-05,0.028435595349148
"ENSG00000210144.1",362.633278354784,-4.13536657457913,1.00191853809096,-4.12744790854814,3.6681148897746e-05,0.0290947012810729
"ENSG00000266402.3",168.554854766843,-4.00266478559536,0.97938895059212,-4.08690008517599,4.37175278231613e-05,0.0334800888077444
"ENSG00000102931.8",43.2860553377357,-2.97000190636167,0.736642942612612,-4.03180663867915,5.53497185615498e-05,0.0398059266851416
"ENSG00000214259.3",32.4044346078082,-5.20506736763984,1.30016677028847,-4.00338440159101,6.24427190029995e-05,0.0398059266851416
"ENSG00000226532.1",45.9110666586743,-4.56241251347562,1.13617424844549,-4.01559225595711,5.92966971326884e-05,0.0398059266851416
"ENSG00000255815.3",45.5771174706438,2.45841736255495,0.614252287119231,4.00229256627539,6.27316598667187e-05,0.0398059266851416
"ENSG00000272325.2",83.337282543163,-2.65831460447871,0.6628204290491,-4.0106105484594,6.05619358539077e-05,0.0398059266851416
"ENSG00000284194.3",29.1090477487074,-3.23654279435077,0.806456533337735,-4.01328857856167,5.98786347932544e-05,0.0398059266851416
"ENSG00000258429.2",179.768148814872,-3.29043070728942,0.828697810343272,-3.97060383920458,7.16907015452868e-05,0.0442271886283132
"ENSG00000176343.5",37.2084911508908,-4.50750125625741,1.13812286275026,-3.96046982604769,7.48024449729685e-05,0.0448996621730988
"ENSG00000129295.9",290.401199927969,1.6847312296216,0.427789868812882,3.93822143169668,8.20878232143714e-05,0.0450943355285961
"ENSG00000136574.18",42.3302746527747,-7.12130942603046,1.8226469495898,-3.90712497976263,9.34008480487829e-05,0.0450943355285961
"ENSG00000169564.7",831.95837759814,-2.679880740411,0.683580435575707,-3.92035904034326,8.84171410216462e-05,0.0450943355285961
"ENSG00000171560.16",69.0314748266237,-4.50722830657741,1.14235104095805,-3.94557202206193,7.96096978180535e-05,0.0450943355285961
"ENSG00000198064.13",35.8228186049605,-3.39606643408955,0.86064878888122,-3.94593762050625,7.94883077532123e-05,0.0450943355285961
"ENSG00000204710.2",29.0087684959974,-2.81586086281278,0.71646706810507,-3.93020277995503,8.48742514214054e-05,0.0450943355285961
"ENSG00000213293.4",63.6904909149613,-3.66211908837355,0.935171243507351,-3.91598770150246,9.00348378133141e-05,0.0450943355285961
"ENSG00000232203.3",29.5312876838935,-4.59635093354013,1.17553162135203,-3.9100189650821,9.22888749185027e-05,0.0450943355285961
"ENSG00000250568.1",28.2097321242423,-3.6504787095417,0.930401470237584,-3.92355217217093,8.72528593024369e-05,0.0450943355285961
"ENSG00000189292.16",31.8680633250462,2.52136757313511,0.648764833122999,3.88641221657754,0.000101736692355583,0.0473543853371636
"ENSG00000226085.3",74.842553426492,-3.39871058854385,0.875967964374263,-3.87994849899754,0.000104478584426179,0.0473543853371636
"ENSG00000288660.1",6.21003958554447,-5.26580370644773,1.35636786979724,-3.88228284059464,0.000103480415170069,0.0473543853371636
"ENSG00000130748.7",771.42077457889,-2.62457479311801,0.677996483732965,-3.87107434343527,0.000108356736314847,0.0481298951363287
"ENSG00000224520.2",105.901691855532,1.73095900647864,0.447780778152002,3.86563937295908,0.00011079855423323,0.0482495115875648
"ENSG00000132821.12",243.667599797639,-3.29550923648983,0.858097159459457,-3.84048496159313,0.000122791494694576,0.0509288996460187
"ENSG00000211676.2",74.3504279845165,-4.75076870711116,1.23769011776338,-3.83841531812199,0.000123830905528615,0.0509288996460187
"ENSG00000240652.1",46.8128532929711,-3.24342340795409,0.843702843691782,-3.84427222475851,0.000120910728651068,0.0509288996460187
"ENSG00000213613.2",41.7345143166113,-3.53210058451418,0.931457132413744,-3.79201625238643,0.000149429132193721,0.0603394835798245
"ENSG00000237730.1",28.2739420404192,-4.27663765783534,1.12915776155914,-3.78745805362944,0.000152196368740532,0.0603594491671157
"ENSG00000158874.11",66.5788605137611,-6.32866080029334,1.67694736501807,-3.77391737648555,0.000160704003423065,0.0615357795176353
"ENSG00000239264.9",134.446603785476,-2.78527674326885,0.73767051062647,-3.77577346951749,0.000159511910403045,0.0615357795176353
"ENSG00000094755.17",94.5851495804694,-3.04305994181341,0.808545620335769,-3.7636218232803,0.000167470085264975,0.0624985299822597
"ENSG00000213174.3",6.22771365956538,-5.7646677449974,1.53251420185898,-3.76157541509548,0.000168846494616398,0.0624985299822597
"ENSG00000159184.8",2878.26893809676,-2.61967668193707,0.698083535954911,-3.75266933971392,0.000174961567357954,0.0637003516303739
"ENSG00000112115.7",17.6821160565896,-3.33897593382946,0.902541501432423,-3.69952620298365,0.000216002339213512,0.0761037585322004
"ENSG00000214297.3",19.0697451466715,-4.01713349140461,1.08483006782816,-3.70300714419444,0.000213058879792364,0.0761037585322004
"ENSG00000279873.2",12.8280620310637,1.42867499240217,0.386580978524183,3.69566810518278,0.000219309313614338,0.0761037585322004
